08-05 11:23:28.684193 [INFO] login.py:37 | 开始初始化窗口
08-05 11:23:28.688179 [INFO] login.py:44 | 窗口初始化完成
08-05 11:23:38.424058 [INFO] login.py:82 | 开始登录
08-05 11:23:38.434032 [WARNING] login.py:98 | 密码错误！
08-05 11:23:38.438020 [WARNING] login.py:103 | 登录失败！
08-05 11:23:46.720129 [INFO] login.py:82 | 开始登录
08-05 11:23:46.722131 [WARNING] login.py:98 | 密码错误！
08-05 11:23:46.725112 [WARNING] login.py:103 | 登录失败！
08-05 11:23:53.728818 [INFO] login.py:82 | 开始登录
08-05 11:23:53.730822 [INFO] login.py:116 | 登录成功
08-05 11:23:53.730822 [INFO] login.py:121 | 下次不自动登录
08-05 11:23:53.767102 [INFO] login.py:129 | 登录成功
