06-08 19:45:03.279997 [INFO] login.py:37 | 开始初始化窗口
06-08 19:45:03.284897 [INFO] login.py:44 | 窗口初始化完成
06-08 19:45:14.835067 [INFO] login.py:82 | 开始登录
06-08 19:45:14.845780 [INFO] login.py:116 | 登录成功
06-08 19:45:14.846747 [INFO] login.py:121 | 下次不自动登录
06-08 19:45:14.846747 [INFO] login.py:129 | 登录成功
06-08 19:45:43.030436 [INFO] login.py:37 | 开始初始化窗口
06-08 19:45:43.034328 [INFO] login.py:44 | 窗口初始化完成
06-08 19:48:18.995062 [INFO] configInit.py:50 | None
06-08 19:48:25.171208 [INFO] configInit.py:50 | None
06-08 19:48:41.986367 [INFO] configInit.py:50 | None
06-08 19:51:40.217881 [INFO] login.py:37 | 开始初始化窗口
06-08 19:51:40.221775 [INFO] login.py:44 | 窗口初始化完成
06-08 19:51:52.258792 [INFO] login.py:82 | 开始登录
06-08 19:51:52.262685 [INFO] login.py:116 | 登录成功
06-08 19:51:52.262685 [INFO] login.py:121 | 下次不自动登录
06-08 19:51:52.301619 [INFO] login.py:129 | 登录成功
06-08 20:00:09.509040 [INFO] login.py:37 | 开始初始化窗口
06-08 20:00:09.511960 [INFO] login.py:44 | 窗口初始化完成
06-08 20:00:18.445497 [INFO] login.py:82 | 开始登录
06-08 20:00:18.449390 [INFO] login.py:116 | 登录成功
06-08 20:00:18.449390 [INFO] login.py:121 | 下次不自动登录
06-08 20:00:18.476643 [INFO] login.py:129 | 登录成功
06-08 20:00:27.274545 [INFO] login.py:37 | 开始初始化窗口
06-08 20:00:27.277465 [INFO] login.py:44 | 窗口初始化完成
06-08 20:13:19.045965 [INFO] login.py:37 | 开始初始化窗口
06-08 20:13:19.048878 [INFO] login.py:44 | 窗口初始化完成
06-08 20:13:27.650463 [INFO] login.py:82 | 开始登录
06-08 20:13:27.654392 [INFO] login.py:116 | 登录成功
06-08 20:13:27.654392 [INFO] login.py:118 | 下次自动登录
06-08 20:13:27.708897 [INFO] login.py:148 | 加密成功
06-08 20:13:27.739073 [INFO] login.py:129 | 登录成功
06-08 20:28:32.515389 [INFO] login.py:37 | 开始初始化窗口
06-08 20:28:32.518349 [INFO] login.py:44 | 窗口初始化完成
06-08 20:28:32.556301 [INFO] login.py:63 | 解密成功，自动填写密码
06-08 20:28:35.745706 [INFO] login.py:82 | 开始登录
06-08 20:28:35.750580 [INFO] login.py:116 | 登录成功
06-08 20:28:35.751546 [INFO] login.py:118 | 下次自动登录
06-08 20:28:35.752519 [INFO] login.py:148 | 加密成功
06-08 20:28:35.782693 [INFO] login.py:129 | 登录成功
06-08 21:25:38.211245 [INFO] login.py:37 | 开始初始化窗口
06-08 21:25:38.214166 [INFO] login.py:44 | 窗口初始化完成
06-08 21:25:38.249207 [INFO] login.py:63 | 解密成功，自动填写密码
06-08 21:25:41.776783 [INFO] login.py:82 | 开始登录
06-08 21:25:41.781649 [INFO] login.py:116 | 登录成功
06-08 21:25:41.781649 [INFO] login.py:118 | 下次自动登录
06-08 21:25:41.782622 [INFO] login.py:148 | 加密成功
06-08 21:25:41.819642 [INFO] login.py:129 | 登录成功
06-08 21:46:19.037291 [INFO] login.py:37 | 开始初始化窗口
06-08 21:46:19.040212 [INFO] login.py:44 | 窗口初始化完成
06-08 21:46:27.272227 [INFO] login.py:82 | 开始登录
06-08 21:46:27.276118 [INFO] login.py:116 | 登录成功
06-08 21:46:27.276118 [INFO] login.py:118 | 下次自动登录
06-08 21:46:27.280012 [INFO] login.py:148 | 加密成功
06-08 21:46:27.319919 [INFO] login.py:129 | 登录成功
