06-11 18:02:02.658003 [INFO] login.py:37 | 开始初始化窗口
06-11 18:02:02.663910 [INFO] login.py:44 | 窗口初始化完成
06-11 18:02:16.452109 [INFO] login.py:82 | 开始登录
06-11 18:02:16.463897 [INFO] login.py:116 | 登录成功
06-11 18:02:16.464860 [INFO] login.py:118 | 下次自动登录
06-11 18:02:16.511192 [INFO] login.py:148 | 加密成功
06-11 18:02:16.552946 [INFO] login.py:129 | 登录成功
06-11 18:07:47.635468 [INFO] login.py:37 | 开始初始化窗口
06-11 18:07:47.638515 [INFO] login.py:44 | 窗口初始化完成
06-11 18:23:34.567347 [INFO] login.py:37 | 开始初始化窗口
06-11 18:23:34.570453 [INFO] login.py:44 | 窗口初始化完成
06-11 18:24:51.539442 [INFO] login.py:37 | 开始初始化窗口
06-11 18:24:51.543329 [INFO] login.py:44 | 窗口初始化完成
06-11 18:25:42.930390 [INFO] login.py:37 | 开始初始化窗口
06-11 18:25:42.933302 [INFO] login.py:44 | 窗口初始化完成
06-11 18:26:52.675098 [INFO] login.py:37 | 开始初始化窗口
06-11 18:26:52.678063 [INFO] login.py:44 | 窗口初始化完成
06-11 18:30:19.330696 [INFO] login.py:37 | 开始初始化窗口
06-11 18:30:19.333620 [INFO] login.py:44 | 窗口初始化完成
06-11 18:30:25.906855 [INFO] login.py:82 | 开始登录
06-11 18:30:25.911093 [INFO] login.py:116 | 登录成功
06-11 18:30:25.912065 [INFO] login.py:118 | 下次自动登录
06-11 18:30:25.915959 [INFO] login.py:148 | 加密成功
06-11 18:30:25.955844 [INFO] login.py:129 | 登录成功
06-11 18:39:24.386399 [INFO] login.py:37 | 开始初始化窗口
06-11 18:39:24.389320 [INFO] login.py:44 | 窗口初始化完成
06-11 18:39:31.120226 [INFO] login.py:82 | 开始登录
06-11 18:39:31.127136 [INFO] login.py:116 | 登录成功
06-11 18:39:31.127136 [INFO] login.py:121 | 下次不自动登录
06-11 18:39:31.165014 [INFO] login.py:129 | 登录成功
06-11 21:30:21.657251 [INFO] login.py:37 | 开始初始化窗口
06-11 21:30:21.663110 [INFO] login.py:44 | 窗口初始化完成
06-11 21:53:25.733388 [INFO] login.py:37 | 开始初始化窗口
06-11 21:53:25.736300 [INFO] login.py:44 | 窗口初始化完成
06-11 21:53:37.008409 [INFO] login.py:82 | 开始登录
06-11 21:53:37.020147 [INFO] login.py:116 | 登录成功
06-11 21:53:37.020147 [INFO] login.py:118 | 下次自动登录
06-11 21:53:37.030174 [INFO] login.py:148 | 加密成功
06-11 21:53:37.072286 [INFO] login.py:129 | 登录成功
06-11 21:55:25.132235 [INFO] login.py:37 | 开始初始化窗口
06-11 21:55:25.135153 [INFO] login.py:44 | 窗口初始化完成
06-11 21:55:31.557707 [INFO] login.py:82 | 开始登录
06-11 21:55:31.563168 [INFO] login.py:116 | 登录成功
06-11 21:55:31.563168 [INFO] login.py:121 | 下次不自动登录
06-11 21:55:31.604104 [INFO] login.py:129 | 登录成功
06-11 21:56:01.175166 [INFO] login.py:37 | 开始初始化窗口
06-11 21:56:01.178086 [INFO] login.py:44 | 窗口初始化完成
06-11 21:56:07.567117 [INFO] login.py:82 | 开始登录
06-11 21:56:07.571257 [INFO] login.py:116 | 登录成功
06-11 21:56:07.572231 [INFO] login.py:121 | 下次不自动登录
06-11 21:56:07.609185 [INFO] login.py:129 | 登录成功
06-11 21:56:24.602803 [INFO] login.py:37 | 开始初始化窗口
