06-29 02:12:32.965372 [INFO] login.py:37 | 开始初始化窗口
06-29 02:12:32.967283 [INFO] login.py:44 | 窗口初始化完成
06-29 02:27:07.625597 [INFO] login.py:37 | 开始初始化窗口
06-29 02:27:07.627588 [INFO] login.py:44 | 窗口初始化完成
06-29 02:28:22.232309 [INFO] login.py:37 | 开始初始化窗口
06-29 02:28:22.234303 [INFO] login.py:44 | 窗口初始化完成
06-29 02:29:11.961791 [INFO] login.py:37 | 开始初始化窗口
06-29 02:29:11.964772 [INFO] login.py:44 | 窗口初始化完成
06-29 02:31:23.672655 [INFO] login.py:37 | 开始初始化窗口
06-29 02:31:23.675646 [INFO] login.py:44 | 窗口初始化完成
06-29 02:31:58.053529 [INFO] login.py:37 | 开始初始化窗口
06-29 02:31:58.056129 [INFO] login.py:44 | 窗口初始化完成
